"State/
Territory1",Top 105,Occupation - unit group4,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
WA,5,2539 Other medical practitioners,"2,677","236,125","161,554","70,459","48,494","254,466","172,036"
WA,6,2222 Financial dealer,361,"201,995","128,200","69,639","37,873","215,190","138,469"
WA,7,1332 Engineering manager,"3,615","191,509","154,537","63,630","49,056","196,028","158,423"
WA,8,2712 Judicial or other legal professionals,349,"189,543","108,347","68,038","30,880","194,402","115,434"
WA,9,2336 Mining engineer,"3,444","183,318","153,140","62,192","50,582","187,383","156,478"
WA,10,2330 Engineer - type not specified,50,"179,282","140,766","67,525","44,992","182,283","142,365"
Australia,1,2535 Surgeon,"3,951","394,866","300,688","78,649","58,188","414,662","318,487"
Australia,2,2532 Anaesthetist,"3,219","367,343","351,639","89,464","69,000","383,975","369,700"
Australia,3,2533 Internal medicine specialist,"8,585","299,378","249,727","74,824","56,614","314,965","263,962"
Australia,4,2222 Financial dealer,"4,683","261,008","139,055","92,267","42,462","270,047","146,242"
Australia,5,2534 Psychiatrist,"2,853","216,075","194,721","64,505","50,670","227,415","206,913"
Australia,6,2539 Other medical practitioners,"28,307","204,387","131,153","57,534","38,291","217,646","142,341"
Australia,7,2712 Judicial or other legal professionals,"3,516","195,703","106,128","61,416","26,961","201,437","111,267"
Australia,8,2336 Mining engineer,"8,296","167,345","144,728","56,531","47,288","171,585","148,088"
Australia,9,1111 Chief executive officer or managing director,"174,265","157,643","73,961","39,360","16,720","165,356","77,891"
Australia,10,1332 Engineering manager,"25,252","147,451","124,769","45,877","37,170","152,273","129,558"
