Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
1100 Manager or director - type not specified,ACT,8,"95,254","73,319","31,479","23,302","99,104","88,221"
1100 Manager or director - type not specified,NSW,324,"90,416","62,767","25,977","15,343","94,003","65,589"
1100 Manager or director - type not specified,QLD,103,"74,628","58,464","18,761","15,391","77,572","60,330"
1100 Manager or director - type not specified,SA,53,"69,992","59,226","18,216","12,471","74,541","64,331"
1100 Manager or director - type not specified,TAS,7,"98,463","77,105","28,301","17,050","99,120","77,105"
1100 Manager or director - type not specified,VIC,196,"96,781","65,165","31,047","18,171","100,550","71,335"
1100 Manager or director - type not specified,WA,91,"96,080","65,585","32,116","19,332","99,049","66,053"
1111 Chief executive officer or managing director,ACT,"2,944","142,079","90,809","39,510","23,611","149,697","95,134"
1111 Chief executive officer or managing director,NSW,"67,885","177,688","73,376","44,283","16,400","186,474","77,228"
1111 Chief executive officer or managing director,NT,"1,551","132,991","90,536","27,517","19,557","136,673","94,223"
1111 Chief executive officer or managing director,QLD,"31,490","122,169","68,987","29,132","15,496","127,901","72,600"
1111 Chief executive officer or managing director,SA,"8,170","128,573","75,332","30,971","16,064","134,583","79,821"
1111 Chief executive officer or managing director,TAS,"2,510","109,627","73,536","23,554","15,196","113,953","77,182"
1111 Chief executive officer or managing director,VIC,"42,571","160,781","72,739","40,622","16,692","169,266","77,095"
1111 Chief executive officer or managing director,WA,"16,069","151,097","80,057","38,006","18,459","157,788","84,044"
1112 General manager,ACT,"4,225","126,455","108,994","35,680","29,816","130,557","112,641"
1112 General manager,NSW,"74,669","119,115","80,831","33,835","20,024","123,813","84,837"
1112 General manager,NT,"3,055","93,989","78,557","25,297","19,552","97,644","81,760"
1112 General manager,QLD,"48,875","99,236","73,247","26,386","17,460","103,320","76,815"
1112 General manager,SA,"12,847","96,811","76,577","25,301","18,252","100,828","79,974"
1112 General manager,TAS,"4,009","87,330","70,917","21,403","16,172","90,476","74,196"
1112 General manager,VIC,"63,682","111,836","78,130","30,610","19,188","116,677","82,141"
1112 General manager,WA,"22,872","117,962","84,237","32,608","21,081","122,006","87,575"
1113 Legislator,ACT,55,"126,583","113,799","42,754","39,362","138,394","124,273"
1113 Legislator,NSW,"1,050","91,101","60,173","27,902","16,316","103,246","63,997"
1113 Legislator,NT,142,"74,885","50,008","20,066","8,433","88,950","54,794"
1113 Legislator,QLD,926,"92,875","73,584","28,841","17,858","104,063","77,907"
1113 Legislator,SA,373,"89,443","60,287","30,085","12,574","100,504","64,572"
1113 Legislator,TAS,179,"90,691","61,134","34,645","28,762","106,941","68,276"
1113 Legislator,VIC,875,"90,371","61,885","25,692","15,281","102,018","65,474"
1113 Legislator,WA,580,"94,481","68,048","27,109","16,922","118,276","71,454"
1210 Farmer - type not specified,NSW,16,"12,087","7,954","3,011","1,164","12,732","7,955"
1210 Farmer - type not specified,QLD,7,"19,183","19,209","3,006","2,658","21,663","20,476"
1210 Farmer - type not specified,VIC,10,"37,706","26,141","8,406","5,374","39,826","27,107"
1211 Aquaculture farmer,ACT,7,"56,501","66,050","10,474","8,309","57,980","66,182"
1211 Aquaculture farmer,NSW,557,"37,521","32,464","6,719","4,160","39,441","33,717"
1211 Aquaculture farmer,NT,41,"59,942","60,107","15,451","13,104","62,815","60,401"
1211 Aquaculture farmer,QLD,594,"32,660","25,841","6,047","3,616","34,013","26,523"
1211 Aquaculture farmer,SA,307,"45,406","39,172","9,339","6,382","47,365","40,860"
1211 Aquaculture farmer,TAS,441,"59,894","58,584","14,178","12,898","62,585","61,704"
1211 Aquaculture farmer,VIC,274,"45,840","32,478","7,952","4,596","47,618","35,588"
1211 Aquaculture farmer,WA,168,"52,093","40,836","11,025","7,092","53,904","43,277"
1212 Crop farmer,ACT,19,"49,672","39,538","10,388","7,390","51,834","39,838"
1212 Crop farmer,NSW,"2,448","53,819","44,746","9,999","7,109","57,680","47,769"
1212 Crop farmer,NT,86,"39,587","32,726","7,819","4,650","41,782","34,435"
1212 Crop farmer,QLD,"3,093","52,107","44,016","9,381","7,145","55,070","47,227"
1212 Crop farmer,SA,"1,337","59,946","45,590","10,169","7,030","63,035","49,090"
1212 Crop farmer,TAS,329,"49,054","44,695","9,018","7,235","51,329","47,367"
1212 Crop farmer,VIC,"2,421","58,287","44,195","9,650","7,110","61,462","47,884"
1212 Crop farmer,WA,"1,421","89,911","47,816","10,833","7,991","94,908","51,625"
1213 Livestock farmer,ACT,19,"64,073","44,109","10,282","8,020","67,340","46,826"
1213 Livestock farmer,NSW,"3,702","54,162","47,443","10,601","9,000","57,994","51,724"
1213 Livestock farmer,NT,96,"64,975","54,699","15,706","12,837","69,433","61,037"
1213 Livestock farmer,QLD,"2,130","64,956","46,857","10,619","8,947","70,876","51,448"
1213 Livestock farmer,SA,"1,120","53,982","49,678","9,935","9,361","57,690","53,485"
1213 Livestock farmer,TAS,630,"53,973","47,794","10,887","9,035","59,377","51,890"
1213 Livestock farmer,VIC,"3,469","49,624","45,617","9,723","8,551","53,352","49,586"
1213 Livestock farmer,WA,"1,024","62,703","53,402","11,980","10,529","66,459","56,491"
1214 Mixed crop and livestock farmer,NSW,"1,052","62,905","53,223","11,251","9,440","68,760","57,355"
1214 Mixed crop and livestock farmer,NT,6,"29,954","27,368","6,481","5,026","34,892","29,722"
1214 Mixed crop and livestock farmer,QLD,494,"61,431","52,086","11,772","9,940","65,430","56,969"
1214 Mixed crop and livestock farmer,SA,367,"66,588","53,247","9,346","8,112","72,160","57,814"
1214 Mixed crop and livestock farmer,TAS,147,"57,240","44,221","9,381","7,626","60,476","46,771"
1214 Mixed crop and livestock farmer,VIC,635,"52,244","47,802","10,489","9,153","59,335","52,954"
1214 Mixed crop and livestock farmer,WA,703,"70,895","59,515","11,738","10,162","84,177","66,912"
1311 Advertising and sales manager,ACT,"1,561","99,458","79,681","29,231","20,302","103,804","83,141"
1311 Advertising and sales manager,NSW,"69,573","110,008","84,466","32,473","22,508","115,510","89,295"
1311 Advertising and sales manager,NT,675,"82,534","74,728","22,554","18,711","86,249","78,262"
1311 Advertising and sales manager,QLD,"27,985","88,087","73,626","24,803","18,722","93,263","78,096"
1311 Advertising and sales manager,SA,"8,836","83,999","72,537","22,435","17,986","88,876","76,854"
1311 Advertising and sales manager,TAS,"1,774","74,182","66,269","18,212","15,243","77,725","69,123"
1311 Advertising and sales manager,VIC,"50,445","100,893","80,062","29,048","20,890","106,663","85,112"
1311 Advertising and sales manager,WA,"12,990","93,122","78,073","26,256","19,889","97,573","82,024"
1321 Corporate services manager,ACT,179,"115,332","100,810","32,919","27,404","119,334","103,448"
1321 Corporate services manager,NSW,"3,707","119,897","96,805","36,483","27,564","124,479","101,012"
1321 Corporate services manager,NT,96,"104,993","98,355","31,044","29,427","108,318","101,271"
1321 Corporate services manager,QLD,"1,695","105,138","89,671","30,468","24,147","109,327","93,596"
1321 Corporate services manager,SA,629,"98,745","85,772","26,967","23,036","103,162","89,841"
1321 Corporate services manager,TAS,199,"93,276","79,794","24,913","19,454","96,113","83,229"
1321 Corporate services manager,VIC,"2,906","114,375","92,655","34,017","25,327","118,960","97,298"
1321 Corporate services manager,WA,910,"115,552","101,431","34,833","28,624","119,206","105,295"
1322 Finance manager,ACT,735,"91,603","80,497","25,030","20,347","94,727","83,089"
1322 Finance manager,NSW,"18,501","140,350","99,636","42,812","28,169","144,538","103,741"
1322 Finance manager,NT,466,"84,658","74,008","22,294","18,073","87,352","75,473"
1322 Finance manager,QLD,"8,104","96,210","74,905","26,776","18,273","99,610","77,889"
1322 Finance manager,SA,"2,675","89,302","72,850","23,821","17,377","92,326","75,391"
1322 Finance manager,TAS,696,"84,239","67,050","21,033","15,230","87,027","68,756"
1322 Finance manager,VIC,"13,455","116,505","87,000","34,246","23,022","120,549","90,856"
1322 Finance manager,WA,"4,237","110,975","83,792","32,196","21,752","114,446","86,499"
1323 Human resource manager,ACT,438,"104,661","99,044","28,422","26,892","107,438","102,057"
1323 Human resource manager,NSW,"9,076","127,557","103,179","38,371","29,215","131,358","106,540"
1323 Human resource manager,NT,222,"101,479","88,602","29,828","24,470","104,562","90,704"
1323 Human resource manager,QLD,"4,052","106,519","91,060","30,591","24,564","110,010","94,040"
1323 Human resource manager,SA,"1,357","95,298","84,130","26,623","22,433","98,553","87,314"
1323 Human resource manager,TAS,349,"86,883","82,192","23,132","21,287","89,682","86,215"
1323 Human resource manager,VIC,"7,112","117,219","96,143","34,354","26,738","120,985","99,592"
1323 Human resource manager,WA,"2,389","130,314","97,992","35,351","27,159","133,447","101,205"
1324 Policy and planning manager,ACT,"16,213","117,270","108,305","34,296","30,683","119,079","109,589"
1324 Policy and planning manager,NSW,"7,880","112,839","103,757","32,356","28,990","115,262","106,101"
1324 Policy and planning manager,NT,563,"118,924","106,633","36,150","31,610","121,440","109,031"
1324 Policy and planning manager,QLD,"4,854","99,350","94,326","27,679","25,708","101,294","96,537"
1324 Policy and planning manager,SA,"1,824","92,825","90,339","25,115","23,904","94,583","92,075"
1324 Policy and planning manager,TAS,764,"93,456","87,773","24,769","22,202","94,874","88,596"
1324 Policy and planning manager,VIC,"5,344","105,319","98,071","30,117","27,162","107,661","100,087"
1324 Policy and planning manager,WA,"2,822","97,840","90,886","27,453","24,068","99,776","92,734"
1325 Research and development manager,ACT,403,"102,542","95,091","28,435","25,412","105,772","96,435"
1325 Research and development manager,NSW,"3,493","104,758","89,810","30,296","24,746","108,857","92,912"
1325 Research and development manager,NT,91,"86,093","85,947","24,910","25,574","89,430","91,312"
1325 Research and development manager,QLD,"1,532","87,753","79,431","24,550","20,449","91,442","82,132"
1325 Research and development manager,SA,770,"91,372","80,803","25,223","20,955","94,365","83,956"
1325 Research and development manager,TAS,198,"82,626","76,463","22,183","19,066","85,785","78,253"
1325 Research and development manager,VIC,"3,409","96,995","83,147","26,971","21,865","100,692","86,736"
1325 Research and development manager,WA,854,"93,796","81,135","25,648","21,674","97,138","83,465"
1331 Construction manager,ACT,"1,086","102,620","90,128","27,912","24,500","108,077","95,176"
1331 Construction manager,NSW,"21,860","103,388","86,340","28,739","22,962","109,093","91,377"
1331 Construction manager,NT,761,"120,217","100,126","38,398","28,638","124,743","104,125"
1331 Construction manager,QLD,"12,609","102,897","89,406","30,428","24,599","108,476","94,943"
1331 Construction manager,SA,"3,108","92,060","83,205","25,752","21,580","97,059","87,367"
1331 Construction manager,TAS,"1,137","76,123","69,089","18,670","16,084","80,653","72,955"
1331 Construction manager,VIC,"15,859","96,016","84,422","27,251","22,493","101,789","89,684"
1331 Construction manager,WA,"6,060","119,426","103,880","37,414","30,382","124,044","108,237"
1332 Engineering manager,ACT,309,"146,542","129,394","43,141","37,657","150,789","133,416"
1332 Engineering manager,NSW,"7,395","144,066","124,660","43,365","36,913","149,264","129,612"
1332 Engineering manager,NT,232,"172,170","145,323","60,888","45,404","174,622","151,011"
1332 Engineering manager,QLD,"4,446","147,510","126,684","46,286","37,718","152,823","132,175"
1332 Engineering manager,SA,"1,601","131,189","117,270","38,928","33,773","135,198","121,363"
1332 Engineering manager,TAS,380,"117,805","102,926","32,530","28,905","121,407","106,627"
1332 Engineering manager,VIC,"6,753","133,003","115,769","40,138","34,199","137,895","120,987"
1332 Engineering manager,WA,"3,615","191,509","154,537","63,630","49,056","196,028","158,423"
"1333 Importer, exporter or wholesaler",ACT,22,"98,561","68,536","24,621","21,437","103,495","72,169"
"1333 Importer, exporter or wholesaler",NSW,"1,481","117,158","63,965","21,252","12,276","121,401","66,783"
"1333 Importer, exporter or wholesaler",NT,11,"121,869","80,465","26,803","19,590","124,384","81,705"
"1333 Importer, exporter or wholesaler",QLD,608,"100,994","59,362","18,051","11,760","103,895","61,291"
"1333 Importer, exporter or wholesaler",SA,253,"99,265","61,586","17,900","11,284","102,624","65,034"
"1333 Importer, exporter or wholesaler",TAS,51,"117,374","60,334","15,036","13,806","120,035","61,534"
"1333 Importer, exporter or wholesaler",VIC,"1,032","106,108","63,067","18,387","12,900","110,094","65,431"
"1333 Importer, exporter or wholesaler",WA,351,"119,431","69,442","20,196","14,040","122,808","71,300"
1334 Manufacturer,ACT,49,"74,833","61,596","14,262","13,264","76,962","63,938"
1334 Manufacturer,NSW,"5,758","75,749","67,710","18,626","15,680","78,421","70,485"
1334 Manufacturer,NT,36,"76,314","69,069","20,274","18,024","79,886","73,817"
1334 Manufacturer,QLD,"3,462","71,268","63,405","17,186","14,264","73,618","65,854"
1334 Manufacturer,SA,"1,585","70,527","63,571","16,657","14,118","72,636","65,691"
1334 Manufacturer,TAS,418,"79,892","66,156","19,936","15,480","81,919","68,874"
1334 Manufacturer,VIC,"7,520","71,999","65,069","17,812","15,113","75,335","68,275"
1334 Manufacturer,WA,"1,513","79,353","72,436","20,195","17,330","81,711","74,567"
1335 Production manager,ACT,62,"96,356","89,957","26,365","21,704","100,375","93,534"
1335 Production manager,NSW,"4,293","130,528","97,427","36,636","26,081","134,288","100,687"
1335 Production manager,NT,87,"116,531","100,399","35,461","27,218","120,057","102,061"
1335 Production manager,QLD,"3,091","126,465","100,541","38,128","27,894","130,304","104,134"
1335 Production manager,SA,"1,188","109,010","92,867","31,561","24,489","112,406","96,300"
1335 Production manager,TAS,357,"103,105","89,701","27,630","21,827","105,819","91,357"
1335 Production manager,VIC,"4,253","117,658","89,896","30,120","23,542","121,571","93,345"
1335 Production manager,WA,"2,714","157,421","130,533","48,845","39,769","160,962","134,212"
1336 Supply and distribution manager,ACT,195,"108,337","97,811","30,072","26,929","111,355","100,531"
1336 Supply and distribution manager,NSW,"5,965","99,733","85,574","28,871","22,977","103,554","88,948"
1336 Supply and distribution manager,NT,196,"79,720","70,256","21,897","16,832","83,161","73,803"
1336 Supply and distribution manager,QLD,"2,956","94,768","81,219","26,090","20,707","98,102","84,179"
1336 Supply and distribution manager,SA,971,"89,749","79,701","24,274","20,144","92,873","81,852"
1336 Supply and distribution manager,TAS,231,"78,916","71,184","19,648","17,077","81,296","74,361"
1336 Supply and distribution manager,VIC,"5,150","107,610","82,474","27,717","21,771","111,510","85,974"
1336 Supply and distribution manager,WA,"1,725","107,213","91,402","32,289","25,761","110,387","94,316"
1341 Child care centre director,ACT,163,"97,257","61,779","14,997","14,494","99,976","64,646"
1341 Child care centre director,NSW,"2,942","67,182","61,027","14,435","13,558","70,715","64,860"
1341 Child care centre director,NT,102,"68,477","62,827","16,693","15,354","72,744","68,782"
1341 Child care centre director,QLD,"2,235","59,402","57,153","12,576","12,791","62,617","61,249"
1341 Child care centre director,SA,577,"59,655","58,916","13,851","13,339","62,381","62,037"
1341 Child care centre director,TAS,125,"55,430","55,430","12,664","12,100","58,138","57,561"
1341 Child care centre director,VIC,"1,788","58,872","55,269","12,602","11,947","62,388","59,400"
1341 Child care centre director,WA,659,"60,364","56,600","12,995","12,284","62,934","59,689"
1342 Health and welfare services manager,ACT,531,"71,740","62,158","17,591","13,558","74,463","64,625"
1342 Health and welfare services manager,NSW,"12,193","70,686","58,431","17,099","12,583","73,509","61,065"
1342 Health and welfare services manager,NT,420,"73,947","67,071","18,902","15,952","76,646","70,504"
1342 Health and welfare services manager,QLD,"8,117","64,284","55,778","15,322","11,644","66,660","57,754"
1342 Health and welfare services manager,SA,"2,577","63,080","53,310","14,720","10,540","65,416","55,044"
1342 Health and welfare services manager,TAS,757,"62,591","55,582","15,057","11,926","65,072","57,718"
1342 Health and welfare services manager,VIC,"9,584","62,826","52,138","14,539","10,433","65,612","54,919"
1342 Health and welfare services manager,WA,"3,709","68,344","57,642","16,674","12,058","70,736","59,685"
1343 School principal,ACT,161,"137,037","128,683","42,706","39,590","142,655","132,933"
1343 School principal,NSW,"3,512","122,329","119,811","38,728","38,004","128,683","126,440"
1343 School principal,NT,189,"124,841","120,819","41,287","41,156","130,256","125,624"
1343 School principal,QLD,"2,410","114,919","109,990","35,676","33,638","120,552","115,711"
1343 School principal,SA,"1,009","107,132","108,858","32,505","33,052","113,063","114,687"
1343 School principal,TAS,285,"106,013","108,576","31,107","32,688","110,591","113,586"
1343 School principal,VIC,"2,886","115,054","109,058","35,511","32,828","120,902","114,606"
1343 School principal,WA,"1,447","111,266","116,387","34,392","36,451","117,146","121,992"
1344 Other education manager,ACT,200,"66,459","56,564","16,117","11,240","68,007","57,097"
1344 Other education manager,NSW,"3,839","64,041","51,242","15,388","10,173","66,440","53,258"
1344 Other education manager,NT,138,"77,586","69,969","20,862","16,887","80,173","71,421"
1344 Other education manager,QLD,"2,054","66,319","53,749","16,155","10,572","68,680","55,647"
1344 Other education manager,SA,624,"65,421","55,066","15,811","11,573","67,940","58,263"
1344 Other education manager,TAS,220,"63,472","56,435","14,469","12,059","65,232","58,552"
1344 Other education manager,VIC,"2,684","64,717","54,200","15,872","11,180","67,296","56,620"
1344 Other education manager,WA,"1,368","64,882","54,336","15,276","10,799","66,991","55,477"
1351 IT manager,ACT,"2,526","131,254","117,567","40,408","34,976","135,123","120,525"
1351 IT manager,NSW,"24,920","133,429","116,612","41,119","34,768","137,468","120,810"
1351 IT manager,NT,306,"103,915","97,326","30,703","26,698","106,755","99,674"
1351 IT manager,QLD,"7,935","111,592","101,100","32,832","28,664","115,161","104,216"
1351 IT manager,SA,"2,454","100,010","91,272","28,194","24,756","102,992","94,206"
1351 IT manager,TAS,526,"106,519","93,141","27,941","24,770","109,203","95,578"
1351 IT manager,VIC,"18,291","125,482","113,598","38,294","33,566","129,645","117,567"
1351 IT manager,WA,"3,752","118,941","108,804","36,147","31,996","122,221","112,099"
1391 Commissioned officer - management,ACT,"1,266","87,117","79,157","23,316","20,630","90,214","82,653"
1391 Commissioned officer - management,NSW,"3,732","98,735","88,971","27,734","24,925","102,862","93,545"
1391 Commissioned officer - management,NT,560,"91,681","82,932","25,840","21,524","95,509","86,918"
1391 Commissioned officer - management,QLD,"3,004","86,168","80,747","22,955","20,571","90,081","84,879"
1391 Commissioned officer - management,SA,724,"87,927","81,399","24,082","21,420","91,349","84,710"
1391 Commissioned officer - management,TAS,190,"88,042","86,442","24,137","23,774","91,328","90,229"
1391 Commissioned officer - management,VIC,"1,665","91,791","85,970","25,674","23,492","96,110","90,878"
1391 Commissioned officer - management,WA,863,"98,846","95,273","28,868","27,087","102,787","99,943"
1392 Senior non-commissioned defence force member,ACT,437,"103,619","93,765","27,768","24,804","106,957","97,776"
1392 Senior non-commissioned defence force member,NSW,"1,775","99,016","94,422","25,972","24,538","102,822","98,332"
1392 Senior non-commissioned defence force member,NT,385,"92,381","91,721","24,719","24,156","96,383","95,652"
1392 Senior non-commissioned defence force member,QLD,"1,864","91,282","87,764","22,753","22,509","94,839","92,074"
1392 Senior non-commissioned defence force member,SA,400,"97,536","93,777","24,985","23,858","100,897","96,116"
1392 Senior non-commissioned defence force member,TAS,36,"101,934","95,399","23,571","23,072","104,616","99,244"
1392 Senior non-commissioned defence force member,VIC,714,"97,215","91,398","24,833","23,342","100,825","95,063"
1392 Senior non-commissioned defence force member,WA,437,"110,183","101,418","30,541","26,936","114,403","105,103"
1399 Other specialist manager,ACT,539,"80,662","73,545","21,255","18,139","82,919","75,672"
1399 Other specialist manager,NSW,"9,002","81,091","72,018","21,648","17,940","84,983","74,980"
1399 Other specialist manager,NT,323,"69,938","61,056","18,628","15,262","73,114","64,053"
1399 Other specialist manager,QLD,"5,240","74,922","67,709","19,671","16,597","77,621","70,499"
1399 Other specialist manager,SA,"2,269","71,204","65,562","17,688","15,481","73,641","67,739"
1399 Other specialist manager,TAS,592,"69,195","64,282","16,917","14,578","71,358","66,704"
1399 Other specialist manager,VIC,"9,105","73,400","65,884","18,528","15,804","76,303","68,912"
1399 Other specialist manager,WA,"3,175","87,189","73,946","24,959","19,207","89,859","77,001"
1411 Café or restaurant manager,ACT,933,"46,376","43,947","8,831","7,754","48,491","45,802"
1411 Café or restaurant manager,NSW,"16,622","46,311","42,323","8,447","7,282","48,348","44,262"
1411 Café or restaurant manager,NT,444,"50,783","50,011","9,941","10,109","52,977","52,529"
1411 Café or restaurant manager,QLD,"10,389","43,617","42,190","7,957","7,271","45,720","44,397"
1411 Café or restaurant manager,SA,"3,213","43,668","40,036","7,446","6,292","45,564","41,864"
1411 Café or restaurant manager,TAS,989,"44,447","39,994","7,790","6,275","46,207","41,779"
1411 Café or restaurant manager,VIC,"13,499","45,190","40,727","7,997","6,780","47,342","42,691"
1411 Café or restaurant manager,WA,"5,982","45,479","43,673","8,632","7,780","47,409","45,735"
1412 Caravan park manager,ACT,8,"60,855","61,523","14,150","14,225","62,656","65,060"
1412 Caravan park manager,NSW,740,"49,694","43,415","8,884","7,105","52,097","45,851"
1412 Caravan park manager,NT,38,"62,639","49,462","11,410","10,104","65,172","52,569"
1412 Caravan park manager,QLD,505,"73,488","41,417","7,859","6,519","75,999","43,516"
1412 Caravan park manager,SA,195,"43,551","39,992","7,957","7,072","46,099","41,623"
1412 Caravan park manager,TAS,66,"42,592","42,455","7,267","7,200","44,560","45,310"
1412 Caravan park manager,VIC,601,"50,385","42,732","8,671","7,031","52,960","46,064"
1412 Caravan park manager,WA,292,"51,010","43,762","9,306","7,860","53,035","45,085"
1413 Hotel or motel manager,ACT,140,"75,873","65,268","19,239","14,740","78,596","66,763"
1413 Hotel or motel manager,NSW,"4,507","67,926","55,660","14,540","11,568","71,087","58,616"
1413 Hotel or motel manager,NT,166,"72,890","59,644","17,585","12,877","75,697","61,565"
1413 Hotel or motel manager,QLD,"3,144","60,110","53,451","13,560","11,003","62,882","55,993"
1413 Hotel or motel manager,SA,"1,227","63,746","55,718","12,894","11,903","66,698","58,617"
1413 Hotel or motel manager,TAS,404,"56,858","52,929","12,582","10,475","59,220","55,019"
1413 Hotel or motel manager,VIC,"2,848","66,093","52,903","13,230","10,734","68,999","55,680"
1413 Hotel or motel manager,WA,960,"63,463","55,889","14,758","12,065","66,211","59,135"
1414 Licensed club manager,ACT,93,"72,138","66,520","18,895","14,964","74,410","69,254"
1414 Licensed club manager,NSW,"1,982","76,561","66,212","20,359","16,029","79,933","70,017"
1414 Licensed club manager,NT,36,"74,128","61,725","19,120","14,784","77,486","66,501"
1414 Licensed club manager,QLD,732,"63,609","57,062","15,309","12,700","66,670","60,543"
1414 Licensed club manager,SA,81,"57,600","56,614","13,366","12,272","60,485","59,700"
1414 Licensed club manager,TAS,19,"49,198","45,353","9,999","8,867","51,758","49,253"
1414 Licensed club manager,VIC,485,"65,444","57,373","15,653","12,788","68,682","61,315"
1414 Licensed club manager,WA,128,"63,899","53,632","16,188","11,508","66,344","57,542"
1419 Other accommodation or hospitality manager,ACT,19,"99,300","83,686","21,667","15,864","102,410","85,091"
1419 Other accommodation or hospitality manager,NSW,523,"64,654","55,276","14,493","11,500","67,272","57,624"
1419 Other accommodation or hospitality manager,NT,46,"60,854","60,306","12,545","13,016","63,803","62,855"
1419 Other accommodation or hospitality manager,QLD,382,"55,769","52,271","12,105","10,138","58,216","54,244"
1419 Other accommodation or hospitality manager,SA,105,"62,635","52,143","13,847","10,282","65,128","55,659"
1419 Other accommodation or hospitality manager,TAS,36,"54,802","46,791","11,468","8,839","56,280","49,576"
1419 Other accommodation or hospitality manager,VIC,330,"56,945","50,772","12,995","10,677","59,810","53,615"
1419 Other accommodation or hospitality manager,WA,221,"55,209","50,275","12,115","10,161","56,984","52,778"
1421 Retail manager,ACT,"1,945","55,356","51,212","11,667","9,913","57,448","53,017"
1421 Retail manager,NSW,"35,680","54,802","49,368","11,395","9,401","57,276","51,757"
1421 Retail manager,NT,"1,072","58,791","53,519","12,822","10,620","61,164","55,632"
1421 Retail manager,QLD,"24,626","52,568","48,507","10,842","9,067","54,951","50,878"
1421 Retail manager,SA,"7,999","53,248","48,670","10,719","8,983","55,382","50,636"
1421 Retail manager,TAS,"2,179","54,166","49,684","10,517","9,166","56,092","51,366"
1421 Retail manager,VIC,"29,808","53,107","48,633","11,025","9,175","55,642","51,073"
1421 Retail manager,WA,"11,840","55,186","49,946","11,676","9,550","57,332","51,970"
"1491 Amusement, fitness or sports centre manager",ACT,108,"59,261","57,162","12,969","12,192","62,857","61,557"
"1491 Amusement, fitness or sports centre manager",NSW,"1,481","57,992","51,181","12,654","10,184","61,079","54,754"
"1491 Amusement, fitness or sports centre manager",NT,36,"66,147","59,731","15,472","14,323","68,681","61,957"
"1491 Amusement, fitness or sports centre manager",QLD,933,"52,033","46,600","11,241","9,102","54,932","50,569"
"1491 Amusement, fitness or sports centre manager",SA,292,"48,969","45,634","10,503","8,833","51,690","48,670"
"1491 Amusement, fitness or sports centre manager",TAS,58,"51,373","47,708","10,716","8,993","54,529","51,336"
"1491 Amusement, fitness or sports centre manager",VIC,"1,384","55,625","50,062","12,340","9,828","58,805","53,109"
"1491 Amusement, fitness or sports centre manager",WA,563,"56,841","57,066","13,391","12,401","59,659","59,627"
1492 Call or contact centre or customer service manager,ACT,"1,088","59,337","55,150","13,825","11,274","61,112","56,889"
1492 Call or contact centre or customer service manager,NSW,"39,404","56,243","50,945","12,741","9,992","58,217","52,953"
1492 Call or contact centre or customer service manager,NT,865,"55,113","54,217","12,614","11,686","57,107","56,454"
1492 Call or contact centre or customer service manager,QLD,"16,612","55,362","51,181","12,126","10,030","57,259","53,179"
1492 Call or contact centre or customer service manager,SA,"5,915","54,062","50,964","11,667","10,004","55,754","52,545"
1492 Call or contact centre or customer service manager,TAS,"1,920","52,131","48,956","10,755","9,250","53,445","50,385"
1492 Call or contact centre or customer service manager,VIC,"29,361","54,776","50,197","12,154","9,742","56,831","52,229"
1492 Call or contact centre or customer service manager,WA,"8,565","55,759","51,240","12,589","10,204","57,506","52,941"
1493 Conference and event organiser,ACT,273,"55,813","55,163","12,521","11,982","57,706","57,370"
1493 Conference and event organiser,NSW,"6,211","56,227","52,494","12,716","10,820","58,683","55,018"
1493 Conference and event organiser,NT,130,"52,993","48,129","11,882","9,795","55,179","51,451"
1493 Conference and event organiser,QLD,"3,025","50,719","48,114","11,075","9,213","53,093","50,591"
1493 Conference and event organiser,SA,889,"47,490","46,758","9,621","8,814","49,564","49,148"
1493 Conference and event organiser,TAS,209,"48,032","45,146","9,400","8,314","49,908","47,060"
1493 Conference and event organiser,VIC,"4,294","52,515","50,567","11,433","10,012","55,081","53,105"
1493 Conference and event organiser,WA,"1,421","51,037","48,651","11,189","9,794","53,163","50,763"
1494 Transport services manager,ACT,145,"72,600","63,400","17,099","14,460","75,459","68,443"
1494 Transport services manager,NSW,"7,332","79,219","71,250","20,784","17,431","82,914","74,985"
1494 Transport services manager,NT,232,"80,325","74,858","21,755","18,825","84,093","78,127"
1494 Transport services manager,QLD,"4,240","79,101","71,494","21,103","17,781","83,015","75,532"
1494 Transport services manager,SA,"1,208","76,503","68,421","18,362","16,024","79,725","71,491"
1494 Transport services manager,TAS,365,"72,752","67,413","17,218","15,668","75,238","69,118"
1494 Transport services manager,VIC,"5,880","76,058","69,666","20,231","17,423","79,924","73,722"
1494 Transport services manager,WA,"2,307","88,866","79,283","24,354","20,890","92,549","82,791"
"1499 Other hospitality, retail or service manager",ACT,495,"88,297","82,285","24,231","21,534","91,299","84,211"
"1499 Other hospitality, retail or service manager",NSW,"11,611","124,593","94,713","37,582","26,355","128,613","98,410"
"1499 Other hospitality, retail or service manager",NT,241,"94,366","86,118","26,476","23,439","97,510","89,660"
"1499 Other hospitality, retail or service manager",QLD,"5,835","96,524","84,521","27,129","22,262","100,259","87,832"
"1499 Other hospitality, retail or service manager",SA,"2,018","95,752","85,025","26,622","21,891","99,280","87,775"
"1499 Other hospitality, retail or service manager",TAS,503,"88,487","79,970","23,030","20,182","91,351","82,413"
"1499 Other hospitality, retail or service manager",VIC,"9,483","112,157","91,409","32,720","24,892","116,601","95,219"
